Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.00335366666,-0.7750390792,0.6823966715,-1.410415658,1.748034073,0
0.01339466666,-0.05787106276,0.8725580648,-0.4419670576,0.9798170831,0
0.02343466665,-0.2640889102,0.8937404805,-0.0466116643,0.9331064496,0
0.03347466665,-0.1376305926,0.9894753344,0.6351719266,1.183827265,0
0.04351566665,-0.2124468863,0.9074418224,1.165100988,1.491993516,0
0.05355566664,-0.3647846881,0.8338309322,1.207987976,1.512473749,0
0.06359666665,-0.4468936291,0.6994895446,1.26282258,1.511198335,0
0.07363666667,-0.5671223232,0.6985781099,1.151850613,1.461642548,0
0.08367666666,-0.3894198847,0.8677950691,0.6552863485,1.155039535,0
0.09371766666,0.009133350849,1.091510709,0.122009756,1.098346679,0
0.1037576667,0.3008123481,1.289405192,-0.2867334223,1.354721326,0
0.1137986667,0.5192292416,1.382825279,-0.5235134965,1.567121928,0
0.1238386667,0.8733755055,1.072485039,-0.4292060941,1.448180515,0
0.1338796667,0.8661936629,0.6521309716,-0.6068538612,1.242512726,0
0.1439196666,1.744742785,1.278313462,-0.2677492672,2.179427072,0
0.1539596666,1.355987729,1.564324461,-0.1461464775,2.075372866,0
0.1640006666,0.9130956414,1.581070156,-0.3056117427,1.851195566,0
0.1740406667,0.5664858538,1.813104922,0.05636657417,1.900377034,0
0.1840816667,0.1470516264,1.797203857,0.6261069882,1.908815299,0
0.1941216667,-0.05727610856,1.568085682,0.8595243287,1.789121385,0
0.2041616667,-0.0447545886,1.506051402,1.801599063,2.348606605,0
0.2142026667,0.003215676248,1.788776266,2.37410638,2.972559835,0
0.2242426666,0.4201250759,1.73736623,2.38621304,2.981435756,0
0.2342836667,0.6366261292,1.337747924,2.171859961,2.629037472,0
0.2443236666,0.2411260173,1.078314421,2.41559296,2.656311934,0
0.2543646666,-0.1194792272,1.058556314,2.627346951,2.835095899,0
0.2644046666,-0.1110849644,1.122022065,3.035360981,3.238007052,0
0.2744446667,-0.2973923117,0.9902249475,2.747803102,2.93588309,0
0.2844856667,-0.5952677496,0.9362852602,2.280448018,2.536023846,0
0.2945256667,-0.8829327795,0.9259403662,2.15742494,2.508269967,0
0.3045666667,-1.442631916,1.08337387,0.7113652396,1.939310778,0
0.3146066667,-1.533187453,1.364845529,-0.5266236305,2.119150663,0
0.3246466666,-1.468362735,2.177319653,-0.5027798545,2.673873141,0
0.3346876666,-1.149945151,1.893505307,0.2505426657,2.229463573,0
0.3447276666,-0.9823953795,1.341954411,0.2662178814,1.684284502,0
0.3547686666,-0.80746189,0.5815791985,1.080195909,1.468690665,0
0.3648086667,-0.3655299157,-0.5218446281,2.083483974,2.178724261,0
0.3748496667,1.500371417,-2.11393335,1.245324787,2.87587594,0
0.3848896667,5.055102704,-4.288712533,-1.194666849,6.736048353,0
0.3949306667,6.243958005,-3.191570809,-1.265743264,7.125674832,0
0.4049706667,3.613069981,0.9123892978,0.1483801138,3.729443065,0
0.4150106666,-0.5515620418,3.39824854,-3.039285632,4.592338291,0
0.4250516667,-2.577262917,1.477984328,-3.136223112,4.320025142,0
0.4350916666,-2.28773628,0.06507936403,-3.253667362,3.977979879,0
0.4451326666,-1.195245431,0.2269431572,-3.301146753,3.518193389,0
0.4551726666,0.1489391807,0.007513964474,-2.989459754,2.993177068,0
0.4652136666,1.646284152,-0.4585602862,-1.574574484,2.323749954,0
0.4752536667,2.326512968,-1.032737714,1.4031464,2.906549431,0
0.4852936667,1.269092257,-2.203513278,1.639452265,3.025536259,0
0.4953346667,0.868552722,-2.738578242,1.146899775,3.093472759,0
0.5053746667,1.161696008,-2.548945729,-1.111994821,3.013833842,0
0.5154156667,5.750906748,-2.253029255,-2.841865506,6.798916737,0
0.5254556666,8.708143666,-2.500854719,-3.30526027,9.644209967,0
0.5354966666,5.781032773,-4.562230371,-2.983794386,7.945899245,0
0.5455366666,5.387494694,-4.994527888,-2.720952687,7.834155438,0
0.5555766667,5.389983269,-4.610814009,-3.386670468,7.860093023,0
0.5656176667,6.026355044,-4.817658386,-4.458903639,8.911150829,0
0.5756576667,6.857232694,-6.08286546,-5.053556115,10.46715443,0
0.5856986667,8.74879117,-6.970927709,-5.993298395,12.690737,0
0.5957386667,9.831763337,-7.954257474,-6.785201429,14.35175044,0
0.6057796667,10.10755311,-8.834526554,-7.005675958,15.14235731,0
0.6158196667,9.625119227,-8.757762553,-6.746302827,14.6578964,0
0.6258606667,8.647607442,-8.573960592,-6.37380303,13.744791,0
0.6359006666,7.81546504,-8.911216296,-6.073745558,13.31847044,0
0.6459406666,6.839013939,-8.965041085,-5.541397503,12.56388314,0
0.6559816666,5.884655959,-8.798886606,-4.473224932,11.49170669,0
0.6660216667,4.875671536,-8.697552604,-3.238748484,10.48375343,0
0.6760626667,4.108963569,-8.59052166,-2.006635481,9.73176397,0
0.6861026667,3.819702396,-8.409795919,-1.290365889,9.32629819,0
0.6961436667,2.828218689,-8.605551928,-0.456879504,9.06989988,0
0.7061836667,1.350106891,-8.573052519,0.8146165431,8.716858277,0
0.7162246667,-0.4677380759,-8.117501795,1.981440998,8.368914071,0
0.7262646666,-1.779801813,-7.296117684,2.034570554,7.780777923,0
0.7363056667,-2.305511523,-5.896165034,1.148509806,6.434222584,0
0.7463456666,-2.553460364,-5.361550013,0.4179127818,5.95323689,0
0.7563856667,-2.455096748,-5.818630954,-0.1623052579,6.317460662,0
0.7664266666,-2.767157385,-6.860503042,-0.4334426942,7.410231747,0
0.7764666667,-3.95682662,-7.735785617,0.493214833,8.702994707,0
0.7865076667,-5.321041088,-7.936601222,1.424306158,9.660836674,0
0.7965476667,-6.551932608,-8.457049023,1.871886835,10.86063807,0
0.8065886667,-8.076603445,-8.530074899,2.274049995,11.96515793,0
0.8166286667,-9.250282298,-8.087568144,2.252215176,12.49195558,0
0.8266696667,-11.19290159,-7.686233388,1.778318959,13.69385438,0
0.8367096666,-14.23374024,-6.951293929,1.256428649,15.89020017,0
0.8467506666,-16.51137458,-6.117590904,0.9532848702,17.63403416,0
0.8567906666,-18.25913891,-4.838176265,0.1395414627,18.88977435,0
